"User Growth Report","用户增长分析报表"
"User Service Lifecycle","用户服务开通与流失单"
"User Growth Dashboard","用户增长驾驶舱"
"User Growth App","用户增长应用"
"Add User Service Lifecycle","新增用户服务单"
"添加 用户服务开通与流失单","新增用户服务单"
"Actions","操作"
"Refresh","刷新"
"More","更多"
"Menu","更多"
"Filter","筛选"
"Filters","筛选"
"Clear all filters","清空全部筛选"
"Reset Filters","重置筛选"
"List View","列表视图"
"Export","导出"
"Print","打印"
"Save","保存"
"Add","新增"
"Create","新建"
"Edit","编辑"
"Delete","删除"
"Duplicate","复制"
"Cancel","取消"
"Assign To","分配给"
"Share","分享"
"Tags","标签"
"附件集","附件"
"Last Updated On","最近更新时间"
